row_id,raw_time,interval_start,interval_end,price_元_kWh,load_kW,pv_kW,load_kWh,pv_kWh
58,09:50,09:40,09:50,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665
59,10:00,09:50,10:00,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333
60,10:10,10:00,10:10,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968
61,10:20,10:10,10:20,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334
62,10:30,10:20,10:30,0.9549,5873.4708,6914.5923,978.9118,1152.43205
63,10:40,10:30,10:40,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755
64,10:50,10:40,10:50,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665
65,11:00,10:50,11:00,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857
66,11:10,11:00,11:10,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808
67,11:20,11:10,11:20,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998
68,11:30,11:20,11:30,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333
69,11:40,11:30,11:40,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667
70,11:50,11:40,11:50,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333
71,12:00,11:50,12:00,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055
72,12:10,12:00,12:10,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332
73,12:20,12:10,12:20,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332
74,12:30,12:20,12:30,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312
75,12:40,12:30,12:40,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564
76,12:50,12:40,12:50,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998
77,13:00,12:50,13:00,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965
78,13:10,13:00,13:10,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666
79,13:20,13:10,13:20,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998
80,13:30,13:20,13:30,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998
81,13:40,13:30,13:40,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334
82,13:50,13:40,13:50,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665
83,14:00,13:50,14:00,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665
84,14:10,14:00,14:10,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693
85,14:20,14:10,14:20,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333
86,14:30,14:20,14:30,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636
87,14:40,14:30,14:40,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511
88,14:50,14:40,14:50,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666
89,15:00,14:50,15:00,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332
90,15:10,15:00,15:10,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334
91,15:20,15:10,15:20,0.7217,5656.3651,4471.224,942.7275166666666,745.204
92,15:30,15:20,15:30,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375
93,15:40,15:30,15:40,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333
94,15:50,15:40,15:50,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999
95,16:00,15:50,16:00,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667
96,16:10,16:00,16:10,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997
97,16:20,16:10,16:20,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337
98,16:30,16:20,16:30,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667
99,16:40,16:30,16:40,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333
100,16:50,16:40,16:50,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667
101,17:00,16:50,17:00,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805
102,17:10,17:00,17:10,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333
103,17:20,17:10,17:20,0.9742,5464.727,1036.3323,910.7878333333333,172.72205
104,17:30,17:20,17:30,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667
105,17:40,17:30,17:40,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333
106,17:50,17:40,17:50,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332
107,18:00,17:50,18:00,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666
108,18:10,18:00,18:10,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999
109,18:20,18:10,18:20,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997
110,18:30,18:20,18:30,1.2545,4225.9524,108.3414,704.3254,18.0569
111,18:40,18:30,18:40,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667
112,18:50,18:40,18:50,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334
113,19:00,18:50,19:00,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333
114,19:10,19:00,19:10,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664
115,19:20,19:10,19:20,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666
116,19:30,19:20,19:30,1.3483,4256.6813,0.0,709.4468833333333,0.0
117,19:40,19:30,19:40,1.349,4267.3947,0.0,711.23245,0.0
118,19:50,19:40,19:50,1.3473,4269.975,0.0,711.6625,0.0
119,20:00,19:50,20:00,1.3482,4268.6702,0.0,711.4450333333332,0.0
120,20:10,20:00,20:10,1.3513,4282.2245,0.0,713.7040833333333,0.0
121,20:20,20:10,20:20,1.34,4291.7049,0.0,715.28415,0.0
122,20:30,20:20,20:30,1.3489,4291.3611,0.0,715.22685,0.0
123,20:40,20:30,20:40,1.3952,4293.9182,0.0,715.6530333333333,0.0
124,20:50,20:40,20:50,1.2226,4295.2135,0.0,715.8689166666666,0.0
125,21:00,20:50,21:00,0.9332,4302.0307,0.0,717.0051166666667,0.0
126,21:10,21:00,21:10,0.9068,4320.9618,0.0,720.1603,0.0
127,21:20,21:10,21:20,0.9371,4302.3292,0.0,717.0548666666666,0.0
128,21:30,21:20,21:30,0.9371,4322.6758,0.0,720.4459666666667,0.0
129,21:40,21:30,21:40,0.9871,4428.8083,0.0,738.1347166666666,0.0
130,21:50,21:40,21:50,0.7764,4030.1614,0.0,671.6935666666666,0.0
131,22:00,21:50,22:00,0.4209,3362.7419,0.0,560.4569833333333,0.0
132,22:10,22:00,22:10,0.3859,3309.3934,0.0,551.5655666666667,0.0
133,22:20,22:10,22:20,0.4368,3412.9563,0.0,568.8260499999999,0.0
134,22:30,22:20,22:30,0.4198,3381.9313,0.0,563.6552166666667,0.0
135,22:40,22:30,22:40,0.4186,3386.5592,0.0,564.4265333333333,0.0
136,22:50,22:40,22:50,0.4241,3400.4846,0.0,566.7474333333332,0.0
137,23:00,22:50,23:00,0.4237,3399.2426,0.0,566.5404333333333,0.0
138,23:10,23:00,23:10,0.4248,3406.9809,0.0,567.83015,0.0
139,23:20,23:10,23:20,0.424,3416.1518,0.0,569.3586333333333,0.0
140,23:30,23:20,23:30,0.422,3421.9811,0.0,570.3301833333333,0.0
141,23:40,23:30,23:40,0.424,3429.6923,0.0,571.6153833333333,0.0
142,23:50,23:40,23:50,0.4271,3439.061,0.0,573.1768333333333,0.0
143,0:00+1,23:50,24:00,0.4276,3444.7259,0.0,574.1209833333332,0.0
